sep=;
Naam;Categorie;Prijs
Carwrap folie 3m 152cm;Folie;43
Tint folie 20% 1 meter;Folie;8.50
XPEL 20% 100cm;Folie;15
XPEL 20% 50cm;Folie;7.50
XPEL 20% 75cm;Folie;11.25
Product fotografie 1-25;Fotografie;8.25
"Product fotografie €7,- per foto + 1,95 nabewerking (0-25 foto's)";Fotografie;8.95
"Product fotografie €7,- per foto + 1,95 nabewerking (25-100 foto's) 5%korting";Fotografie;8.95
3M Gold rakel met vilt;Gereedschap;6.51
RAM Front Grille Emblem Vinyl Overlay;Logo's & emblemen;25
Ram Hemi logo's wrap;Logo's & emblemen;50
Ram Logo's rondom plakken;Logo's & emblemen;150
Ram streep gril;Logo's & emblemen;60
RAM Tailgate Emblem Vinyl Overlay;Logo's & emblemen;35
Montage;Montage;42.50
Montage inhuur;Montage;45
Plakken/beletteren Inhuur;Montage;45
Ontchromen Audi Grill;Ontchromen;160
Ontchromen Audi grill omlijsting;Ontchromen;100
Ontchromen Audi grill omlijsting inl lamellen;Ontchromen;160
ontchromen Audi logo's;Ontchromen;85
Ontchromen Chevrolet High Country;Ontchromen;780
Ontchromen Dakdragers;Ontchromen;200
Ontchromen raamlijsten;Ontchromen;250
Ontchromen Raamlijsten;Ontchromen;250
Ontwerp/DTP;Ontwerp;55
Chameleon voorruit;Ramen tinten;300
Chameleon voorruit;Ramen tinten;260
Chameleon voorruit RAM;Ramen tinten;220
Ram - Tinten voorruit en voorportieren;Ramen tinten;250
Ram Voorportieren Tinten;Ramen tinten;120
Ram voorruit tinten;Ramen tinten;130
Ram voorruit tinten Chameleon;Ramen tinten;220
Ramen tinten hatchback 3 deurs;Ramen tinten;160
Ramen tinten hatchback 5 deurs van A-style;Ramen tinten;300
Ramen tinten hatchback 5 deurs van B-style;Ramen tinten;200
Ramen tinten inhuur;Ramen tinten;40
Ramen tinten sedan vanaf A-Style;Ramen tinten;340
Ramen tinten sedan vanaf B-Style;Ramen tinten;240
Ramen tinten station vanaf A-style;Ramen tinten;360
Ramen tinten station vanaf B-style;Ramen tinten;260
Tinten Achterruit Sedan;Ramen tinten;140
Tinten Achterruit station;Ramen tinten;100
Tinten draairaam achter;Ramen tinten;60
Tinten draairaam voor;Ramen tinten;60
Tinten draairaam voor Chameleon;Ramen tinten;70
Tinten Ram;Ramen tinten;240
Reiskosten (km);Reiskosten;0.35
Reistijd (uren);Reiskosten;30
Avery Cleaner + Ontvetter;Schoonmaakmiddelen;22.50
Maverick sticker;Stickers;1
Maverick sticker fluor;Stickers;2
Navigator mini sticker;Stickers;1
Navigator mini sticker custom;Stickers;5
Navigator mini sticker fluor;Stickers;2
Navigator mini sticker Special;Stickers;2.50
Navigator pro Carbon;Stickers;4.50
Navigator sticker;Stickers;2
Navigator sticker;Stickers;1
Navigator sticker custom;Stickers;5
Navigator sticker fluor;Stickers;2
Navigator sticker Special;Stickers;2.50
Chevrolet High country - Twin Line Color Detail;Striping;650
RAM (gen 4) Striping 6 banen incl bedcover;Striping;700
RAM (gen 4) Striping Twin Line Color Detail;Striping;700
RAM (gen 5) - Striping Twin Line Color Detail;Striping;500
RAM (gen 5) - Striping Twin Line Color Detail V-Line;Striping;600
RAM (gen 5) - Striping Twin Line Detail;Striping;600
RAM (gen 5) Striping Twin Line Color Detail;Striping;600
RAM - Striping Twin Line Offset;Striping;550
RAM Striping -Striping Twin Line;Striping;600
RAM Striping bedcover;Striping;150
RAM Striping gekleurde bies vervangen;Striping;150
Striping single line Color Detail;Striping;650
Striping single Line Detail;Striping;600
Striping singler Line;Striping;550
Stripng 6 banen RAM incl huif;Striping;650
"3M Knifeless Tape Finish-Line 3,5mm - 50 meter";Tape;30
3m Ontchromen 50mm 25m;Tape;45
Achter lichten tinten;Verlichting & koplampen;60
Chevrolet Koplampen folie PPF;Verlichting & koplampen;80
Chevrolet Koplampen folie PPF (incl montage);Verlichting & koplampen;120
GMC koplampen Eclips;Verlichting & koplampen;180
koplampen tinten;Verlichting & koplampen;70
RAM koplampen tinten;Verlichting & koplampen;140
Ram Tinten verlichting;Verlichting & koplampen;350
Ram TRX PPF;Verlichting & koplampen;80
Aanpassen website;Website & hosting;40
Aanpassen website;Website & hosting;35
Domein verlenging - .com 1 Jaar/Jaren;Website & hosting;12.50
Domein verlenging - .NL 1 Jaar/Jaren;Website & hosting;8
webhosting Start - ______ 1 Jaar/Jaren (00/00/2017 - 00/00/2017 );Website & hosting;72
